Параметры займа,,,,,,,Факторы,,,,,,,,,,,,,,,,,,,,,
Loan issued,Рейтинг,"Comission, %",Earned interest,"Unpaid,  full amount",EL,,учредителю подсказывают / на ВИ другой человек,"На ВИ присутствует ""сотрудник"", в тч за кадром, который отвечает на вопросы","""Сотрудник"" отвечает на вопросы. ГД/учредитель молчит или отвечает редко.",В компании была смена учредителя,учредитель женщина,Первое ЮЛ,Выручка компании в первый год > 30 млн.,Текущее ЮЛ основано до 30 лет,КИ учредителя < 1 млн,Не знает объем выручки,Не знает ФОТ,Не знает контрагентов,"Не знает наценку (рентабельность, прибыль)","Не знает кредиторов ), в тч объем обязательств",Нерелевантный опыт работы,Нелогичный выбор сферы бизнеса,За ответом на вопросы 10-14 просит обратиться к сотруднику,Данные предоставленные заемщиком разнятся с действительностью > 50%,"Есть ""партнер"", который официально не оформлен","Не потребовалось денег для начала бизнеса, тк были договоренности с поставщиками","Офис находится в здании партнера/друга/родственника, аренду не платит.",Заемщик от партнера и был подготовлен к ВИ
1 010 000 ₽,17,"5,94%",98 550 ₽,0 ₽,"0,00%",,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1 500 000 ₽,13,"6,50%",35 133 ₽,1 425 663 ₽,"1,50%",,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1 350 000 ₽,17,"4,00%",90 933 ₽,765 933 ₽,"1,50%",,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
500 000 ₽,14,"6,50%",29 277 ₽,0 ₽,"10,00%",,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1 000 000 ₽,18,"6,50%",101 473 ₽,384 070 ₽,"10,00%",,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1 000 000 ₽,9,"6,50%",0 ₽,1 317 324 ₽,"1,50%",,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4 000 000 ₽,5,"5,50%",206 521 ₽,1 436 594 ₽,"1,50%",,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1 000 000 ₽,8,"5,20%",13 663 ₽,1 066 955 ₽,"10,00%",,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0
1 350 000 ₽,16,"6,50%",126 477 ₽,513 239 ₽,"1,50%",,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1 300 000 ₽,10,"4,00%",61 336 ₽,0 ₽,"0,00%",,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6 000 000 ₽,10,"6,00%",246 265 ₽,4 492 530 ₽,"1,50%",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1 500 000 ₽,12,"6,00%",0 ₽,1 710 796 ₽,"40,00%",,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
3 000 000 ₽,12,"6,00%",101 036 ₽,2 553 109 ₽,"1,50%",,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
4 000 000 ₽,12,"7,80%",0 ₽,5 220 502 ₽,"1,50%",,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0
5 000 000 ₽,9,"6,00%",232 529 ₽,3 242 208 ₽,"1,50%",,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2 536 310 ₽,13,"3,00%",175 639 ₽,457 846 ₽,"1,50%",,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3 190 000 ₽,14,"4,00%",163 664 ₽,2 089 962 ₽,"1,50%",,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5 000 000 ₽,7,"4,88%",208 666 ₽,3 208 800 ₽,"1,50%",,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2 000 000 ₽,12,"5,40%",25 653 ₽,1 719 543 ₽,"1,50%",,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
3 000 000 ₽,12,"6,00%",92 349 ₽,2 527 048 ₽,"10,00%",,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
1 350 382 ₽,14,"6,00%",66 037 ₽,0 ₽,"0,00%",,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4 000 000 ₽,5,"3,00%",295 901 ₽,725 847 ₽,"10,00%",,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3 586 929 ₽,10,"6,00%",63 297 ₽,0 ₽,"0,00%",,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2 500 000 ₽,15,"4,13%",101 036 ₽,1 598 893 ₽,"0,00%",,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2 017 589 ₽,14,"6,50%",238 424 ₽,189 807 ₽,"1,50%",,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11 808 076 ₽,8,"5,05%",306 080 ₽,11 443 565 ₽,"1,50%",,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2 390 000 ₽,14,"6,50%",231 082 ₽,674 527 ₽,"1,50%",,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0
2 000 000 ₽,12,"6,80%",46 819 ₽,2 348 347 ₽,"1,50%",,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4 500 000 ₽,6,"4,50%",115 884 ₽,3 005 641 ₽,"1,50%",,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
2 000 000 ₽,14,"5,80%",31 271 ₽,2 177 312 ₽,"1,50%",,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1
3 189 956 ₽,9,"6,00%",411 236 ₽,0 ₽,"0,00%",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4 550 000 ₽,13,"6,50%",326 814 ₽,2 129 272 ₽,"1,50%",,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2 000 000 ₽,7,"5,10%",31 271 ₽,2 177 312 ₽,"1,50%",,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
5 225 000 ₽,7,"4,31%",289 464 ₽,1 886 399 ₽,"10,00%",,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2 348 835 ₽,13,"6,50%",357 513 ₽,0 ₽,"30,00%",,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2 000 000 ₽,8,"6,00%",85 944 ₽,1 505 221 ₽,"1,50%",,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6 590 000 ₽,13,"6,24%",332 489 ₽,2 720 480 ₽,"1,50%",,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2 600 000 ₽,13,"4,50%",86 805 ₽,1 906 944 ₽,"1,50%",,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
1 000 000 ₽,13,"6,50%",71 827 ₽,467 972 ₽,"1,50%",,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3 000 000 ₽,10,"3,20%",250 400 ₽,550 080 ₽,"10,00%",,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5 050 000 ₽,12,"5,30%",345 739 ₽,2 351 123 ₽,"1,50%",,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500 000 ₽,11,"4,20%",7 189 ₽,452 611 ₽,"1,50%",,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
500 000 ₽,8,"6,00%",24 394 ₽,382 121 ₽,"1,50%",,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
4 190 768 ₽,7,"5,00%",310 013 ₽,760 464 ₽,"1,50%",,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1 500 000 ₽,9,"3,80%",47 749 ₽,0 ₽,"0,00%",,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1 000 000 ₽,17,"5,00%",12 684 ₽,1 056 191 ₽,"1,50%",,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1 500 000 ₽,6,"5,50%",76 104 ₽,1 152 209 ₽,"10,00%",,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1 500 000 ₽,7,"6,00%",52 699 ₽,1 283 097 ₽,"1,50%",,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2 000 000 ₽,10,"6,00%",123 525 ₽,921 566 ₽,"1,50%",,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
10 000 000 ₽,4,"3,68%",221 926 ₽,8 165 777 ₽,"1,50%",,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
5 000 000 ₽,10,"6,00%",264 697 ₽,2 764 697 ₽,"1,50%",,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
5 000 000 ₽,16,"5,00%",210 055 ₽,0 ₽,"10,00%",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
5 000 000 ₽,12,"5,50%",268 575 ₽,3 292 671 ₽,"1,50%",,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6 000 000 ₽,8,"5,25%",279 035 ₽,3 890 649 ₽,"1,50%",,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6 000 000 ₽,11,"5,00%",223 228 ₽,4 446 456 ₽,"1,50%",,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4 300 000 ₽,2,"5,50%",195 370 ₽,1 140 123 ₽,"1,50%",,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1 836 735 ₽,13,"2,00%",81 043 ₽,652 767 ₽,"1,50%",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
14 852 000 ₽,4,"3,94%",360 033 ₽,8 996 866 ₽,"1,50%",,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13 570 000 ₽,4,"2,83%",740 031 ₽,916 800 ₽,"30,00%",,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6 000 000 ₽,8,"4,50%",450 720 ₽,1 650 240 ₽,"10,00%",,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500 000 ₽,16,"5,00%",19 026 ₽,432 078 ₽,"10,00%",,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
600 000 ₽,10,"6,00%",16 742 ₽,500 226 ₽,"10,00%",,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1 700 000 ₽,16,"5,50%",81 604 ₽,0 ₽,"0,00%",,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2 000 000 ₽,16,"6,50%",126 841 ₽,1 344 244 ₽,"1,50%",,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2 290 000 ₽,8,"6,00%",23 498 ₽,0 ₽,"0,00%",,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7 210 000 ₽,9,"6,28%",432 440 ₽,3 190 262 ₽,"1,50%",,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5 000 000 ₽,11,"6,00%",325 541 ₽,2 315 863 ₽,"1,50%",,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500 000 ₽,7,"3,00%",36 590 ₽,286 590 ₽,"1,50%",,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
5 000 000 ₽,7,"6,00%",161 345 ₽,3 142 549 ₽,"40,00%",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1 000 000 ₽,11,"5,50%",16 132 ₽,1 094 117 ₽,"1,50%",,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0
8 000 000 ₽,9,"4,50%",200 320 ₽,6 600 959 ₽,"40,00%",,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4 000 000 ₽,10,"6,00%",123 133 ₽,3 369 398 ₽,"1,50%",,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1 930 000 ₽,15,"4,50%",186 606 ₽,544 702 ₽,"10,00%",,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1 500 000 ₽,12,"6,00%",76 104 ₽,1 152 209 ₽,"1,50%",,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1 000 000 ₽,10,"5,40%",32 264 ₽,994 652 ₽,"1,50%",,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
500 000 ₽,18,"6,50%",31 710 ₽,0 ₽,"0,00%",,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2 000 000 ₽,8,"6,00%",88 232 ₽,1 290 192 ₽,"1,50%",,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
1 000 000 ₽,16,"3,50%",0 ₽,1 080 210 ₽,"1,50%",,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1 000 000 ₽,7,"3,50%",32 264 ₽,994 652 ₽,"1,50%",,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4 000 000 ₽,7,"4,00%",100 329 ₽,2 100 329 ₽,"1,50%",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3 600 000 ₽,15,"4,00%",202 073 ₽,2 382 902 ₽,"10,00%",,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2 000 000 ₽,10,"4,50%",78 244 ₽,1 489 820 ₽,"40,00%",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1 000 000 ₽,5,"4,90%",12 684 ₽,1 056 191 ₽,"1,50%",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6 000 000 ₽,13,"6,00%",110 750 ₽,6 718 246 ₽,"1,50%",,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
6 000 000 ₽,13,"5,00%",83 100 ₽,5 415 499 ₽,"1,50%",,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1 000 000 ₽,15,"6,50%",101 473 ₽,384 070 ₽,"1,50%",,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8 700 000 ₽,8,"2,15%",137 750 ₽,0 ₽,"1,50%",,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3 000 000 ₽,8,"5,00%",74 243 ₽,2 177 312 ₽,"1,50%",,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2 818 080 ₽,11,"4,60%",78 634 ₽,2 349 463 ₽,"100,00%",,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3 000 000 ₽,9,"3,90%",63 831 ₽,3 391 299 ₽,"1,50%",,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1 000 000 ₽,10,"6,00%",13 663 ₽,1 066 955 ₽,"1,50%",,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1 500 000 ₽,13,"6,50%",84 197 ₽,992 876 ₽,"1,50%",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2 500 000 ₽,13,"5,00%",46 506 ₽,2 315 863 ₽,"10,00%",,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5 000 000 ₽,12,"5,60%",0 ₽,5 702 652 ₽,"1,50%",,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12 000 000 ₽,10,"4,77%",275 115 ₽,8 406 652 ₽,"10,00%",,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1 000 000 ₽,14,"4,00%",32 264 ₽,994 652 ₽,"10,00%",,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0
2 000 000 ₽,4,"5,50%",44 385 ₽,0 ₽,"0,00%",,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1 000 000 ₽,8,"5,00%",17 646 ₽,921 566 ₽,"1,50%",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1 870 000 ₽,14,"6,50%",140 626 ₽,879 614 ₽,"1,50%",,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2 500 000 ₽,8,"4,00%",0 ₽,3 112 689 ₽,"1,50%",,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1 500 000 ₽,12,"4,00%",79 409 ₽,829 409 ₽,"1,50%",,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1 500 000 ₽,13,"6,50%",76 104 ₽,1 152 209 ₽,"1,50%",,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0
4 500 000 ₽,10,"6,00%",143 655 ₽,3 112 689 ₽,"1,50%",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6 500 000 ₽,5,"3,98%",127 688 ₽,1 885 529 ₽,"1,50%",,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3 000 000 ₽,4,"5,50%",128 916 ₽,2 257 832 ₽,"1,50%",,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0
4 000 000 ₽,15,"5,50%",0 ₽,4 608 835 ₽,"1,50%",,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
5 436 970 ₽,10,"4,00%",213 861 ₽,3 334 842 ₽,"1,50%",,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2 030 000 ₽,14,"6,50%",87 233 ₽,1 527 799 ₽,"40,00%",,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5 300 000 ₽,13,"5,50%",326 301 ₽,2 976 301 ₽,"1,50%",,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1 500 000 ₽,17,"6,50%",140 530 ₽,570 265 ₽,"30,00%",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4 000 000 ₽,9,"4,50%",42 972 ₽,4 139 358 ₽,"1,50%",,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
3 500 000 ₽,5,"5,71%",163 831 ₽,2 932 262 ₽,"1,50%",,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2 545 267 ₽,12,"6,00%",248 938 ₽,473 999 ₽,"1,50%",,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6 000 000 ₽,9,"5,00%",236 143 ₽,3 830 600 ₽,"1,50%",,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
6 550 000 ₽,5,"5,00%",298 473 ₽,3 272 740 ₽,"1,50%",,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
5 000 000 ₽,9,"6,00%",333 866 ₽,1 833 600 ₽,"1,50%",,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
5 000 000 ₽,8,"5,10%",236 814 ₽,1 925 280 ₽,"10,00%",,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2 330 000 ₽,15,"6,50%",130 786 ₽,1 542 267 ₽,"1,50%",,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1 834 182 ₽,13,"5,94%",188 206 ₽,343 338 ₽,"1,50%",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2 830 000 ₽,17,"5,50%",66 284 ₽,2 689 751 ₽,"10,00%",,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0
6 200 000 ₽,5,"2,91%",141 206 ₽,5 476 868 ₽,"1,50%",,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
5 000 000 ₽,13,"5,50%",186 023 ₽,3 705 380 ₽,"40,00%",,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1 000 000 ₽,3,"6,00%",62 325 ₽,270 775 ₽,"1,50%",,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3 500 000 ₽,10,"6,20%",79 756 ₽,4 085 647 ₽,"1,50%",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3 000 000 ₽,12,"4,50%",188 914 ₽,1 094 457 ₽,"1,50%",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3 000 000 ₽,11,"5,30%",128 916 ₽,2 257 832 ₽,"1,50%",,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
855 744 ₽,15,"6,08%",19 214 ₽,0 ₽,"0,00%",,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1 500 000 ₽,12,"3,00%",44 385 ₽,0 ₽,"10,00%",,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1 500 000 ₽,8,"4,20%",0 ₽,1 737 108 ₽,"1,50%",,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1 050 000 ₽,13,"6,50%",97 662 ₽,0 ₽,"0,00%",,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1 000 000 ₽,13,"5,70%",13 663 ₽,1 066 955 ₽,"1,50%",,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1 200 000 ₽,13,"5,80%",98 506 ₽,449 253 ₽,"1,50%",,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5 000 000 ₽,4,"5,50%",173 124 ₽,3 159 041 ₽,"1,50%",,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
6 002 440 ₽,10,"5,03%",205 085 ₽,4 246 263 ₽,"1,50%",,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7 000 000 ₽,3,"3,30%",123 516 ₽,0 ₽,"0,00%",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1 000 000 ₽,7,"5,10%",13 663 ₽,1 066 955 ₽,"1,50%",,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0
5 000 000 ₽,9,"6,00%",292 133 ₽,2 292 000 ₽,"1,50%",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3 160 000 ₽,12,"5,00%",146 959 ₽,2 049 075 ₽,"1,50%",,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2 000 000 ₽,14,"6,50%",67 358 ₽,1 702 073 ₽,"1,50%",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3 000 000 ₽,6,"2,50%",132 609 ₽,0 ₽,"0,00%",,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
6 000 000 ₽,4,"3,00%",215 422 ₽,3 215 422 ₽,"1,50%",,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
3 610 000 ₽,15,"6,50%",220 152 ₽,2 414 047 ₽,"1,50%",,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
500 000 ₽,10,"3,50%",8 389 ₽,0 ₽,"0,00%",,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3 490 000 ₽,5,"5,50%",157 666 ₽,1 566 785 ₽,"1,50%",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
8 500 000 ₽,6,"4,50%",393 410 ₽,5 174 198 ₽,"1,50%",,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1 000 000 ₽,14,"6,50%",109 771 ₽,286 590 ₽,"1,50%",,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1 000 000 ₽,14,"5,50%",74 409 ₽,370 538 ₽,"1,50%",,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
500 000 ₽,13,"6,50%",30 492 ₽,334 355 ₽,"1,50%",,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0
2 660 000 ₽,15,"5,50%",119 447 ₽,2 012 228 ₽,"10,00%",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2 000 000 ₽,11,"3,50%",29 469 ₽,1 392 270 ₽,"1,50%",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1 500 000 ₽,16,"5,24%",102 695 ₽,698 353 ₽,"10,00%",,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6 000 000 ₽,14,"5,38%",203 562 ₽,2 880 522 ₽,"10,00%",,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2 860 000 ₽,15,"6,50%",209 297 ₽,1 639 297 ₽,"10,00%",,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
500 000 ₽,11,"6,00%",24 394 ₽,382 121 ₽,"1,50%",,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0
2 927 736 ₽,6,"6,00%",309 986 ₽,0 ₽,"30,00%",,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5 000 000 ₽,8,"3,50%",221 014 ₽,0 ₽,"0,00%",,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2 000 000 ₽,11,"6,00%",148 819 ₽,741 076 ₽,"1,50%",,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
